Date,Crop,Category,Market,District,State,Min_Price,Max_Price,Modal_Price,Quantity
23-01-2024,Banana,Fruits,Kalaburagi APMC,Mysuru,Karnataka,1771,19067,11402,972
24-01-2024,Cowpea,Pulses,Bhadravati APMC,Chitradurga,Karnataka,6525,41923,21046,332
25-01-2024,Tobacco,Commercial Crops,Raichur APMC,Shivamogga,Karnataka,9770,55612,32591,640
26-01-2024,Potato,Vegetables,Chikkamagaluru APMC,Chitradurga,Karnataka,1193,24454,9304,121
27-01-2024,Beans,Vegetables,Udupi APMC,Bengaluru,Karnataka,3007,24180,14340,312
28-01-2024,Brinjal,Vegetables,Tumakuru APMC,Chitradurga,Karnataka,2185,42634,19434,752
29-01-2024,Soybean,Oilseeds,Chitradurga APMC,Kalaburagi,Karnataka,3394,15031,9804,928
30-01-2024,Sunflower,Oilseeds,Shivamogga APMC,Mysuru,Karnataka,5005,46786,31050,936
31-01-2024,Jola (Jowar),Cereals,Raichur APMC,Tumakuru,Karnataka,8429,32081,21311,991
01-02-2024,Pomegranate,Fruits,Chikkamagaluru APMC,Tumakuru,Karnataka,3261,18364,9579,624
02-02-2024,Toor Dal,Pulses,Kalaburagi APMC,Belagavi,Karnataka,4736,40236,19018,941
03-02-2024,Cotton,Commercial Crops,Raichur APMC,Bengaluru,Karnataka,7716,52516,27023,61
04-02-2024,Black Gram,Pulses,Tumakuru APMC,Belagavi,Karnataka,5875,51404,22532,190
05-02-2024,Watermelon,Fruits,Raichur APMC,Kalaburagi,Karnataka,9921,38373,20518,815
06-02-2024,Coconut,Plantation,Hassan APMC,Hassan,Karnataka,5378,46552,30753,604
07-02-2024,Maize,Cereals,Raichur APMC,Davangere,Karnataka,8815,54251,29438,66
08-02-2024,Potato,Vegetables,Mysuru APMC,Udupi,Karnataka,4451,30405,16764,112
09-02-2024,Sesame,Oilseeds,Raichur APMC,Hassan,Karnataka,8616,35802,23232,302
10-02-2024,Black Gram,Pulses,Tumakuru APMC,Davangere,Karnataka,3800,26156,15780,514
11-02-2024,Carrot,Vegetables,Shivamogga APMC,Mysuru,Karnataka,9333,52296,23380,425
12-02-2024,Rice (Akki),Cereals,Belagavi APMC,Belagavi,Karnataka,6410,18597,14120,853
13-02-2024,Sugarcane,Commercial Crops,Raichur APMC,Mysuru,Karnataka,2455,24162,10507,569
14-02-2024,Brinjal,Vegetables,Belagavi APMC,Kalaburagi,Karnataka,7892,52990,34465,886
15-02-2024,Toor Dal,Pulses,Vijayapura APMC,Raichur,Karnataka,6808,43743,29304,139
16-02-2024,Green Gram,Pulses,Mysuru APMC,Raichur,Karnataka,7796,39021,26093,769
17-02-2024,Papaya,Fruits,Kalaburagi APMC,Raichur,Karnataka,5796,19402,13029,853
18-02-2024,Sesame,Oilseeds,Shivamogga APMC,Kalaburagi,Karnataka,6093,48921,19192,845
19-02-2024,Arecanut (Betel Nut),Plantation,Dharwad APMC,Chitradurga,Karnataka,2325,38814,18532,679
20-02-2024,Guava,Fruits,Hubballi APMC,Mysuru,Karnataka,5976,30363,19192,910
21-02-2024,Turmeric,Commercial Crops,Kalaburagi APMC,Davangere,Karnataka,2159,16086,8496,224
22-02-2024,Maize,Cereals,Bhadravati APMC,Kalaburagi,Karnataka,5650,21946,16167,125
23-02-2024,Rice (Akki),Cereals,Raichur APMC,Raichur,Karnataka,5987,46431,23116,662
24-02-2024,Bajra,Cereals,Kalaburagi APMC,Bengaluru,Karnataka,5697,18288,10953,975
25-02-2024,Maize,Cereals,Chitradurga APMC,Kalaburagi,Karnataka,1340,37487,16030,712
26-02-2024,Cabbage,Vegetables,Thirthahalli APMC,Vijayapura,Karnataka,4828,53717,26002,449
27-02-2024,Coconut,Plantation,Shivamogga APMC,Chitradurga,Karnataka,2968,14168,8825,831
28-02-2024,Carrot,Vegetables,Mysuru APMC,Davangere,Karnataka,1703,27424,16693,120
29-02-2024,Mango,Fruits,Tumakuru APMC,Raichur,Karnataka,6482,35720,23002,229
01-03-2024,Bengal Gram,Pulses,Sagar APMC,Chikkamagaluru,Karnataka,7376,28463,20515,173
02-03-2024,Guava,Fruits,Bengaluru APMC,Tumakuru,Karnataka,2800,43616,29509,430
03-03-2024,Sesame,Oilseeds,Bengaluru APMC,Tumakuru,Karnataka,6463,39871,27391,342
04-03-2024,Green Chilli,Vegetables,Dharwad APMC,Hassan,Karnataka,5912,55652,21211,846
05-03-2024,Sunflower,Oilseeds,Bhadravati APMC,Tumakuru,Karnataka,5648,15784,11673,244
06-03-2024,Green Gram,Pulses,Shivamogga APMC,Davangere,Karnataka,1855,29268,12364,960
07-03-2024,Sesame,Oilseeds,Kalaburagi APMC,Dharwad,Karnataka,3866,32844,14100,277
08-03-2024,Tomato,Vegetables,Tumakuru APMC,Belagavi,Karnataka,1182,11843,7103,480
09-03-2024,Turmeric,Commercial Crops,Mysuru APMC,Davangere,Karnataka,4112,49352,23470,991
10-03-2024,Cotton,Commercial Crops,Shivamogga APMC,Chitradurga,Karnataka,6670,43923,18697,485
11-03-2024,Soybean,Oilseeds,Sagar APMC,Vijayapura,Karnataka,5492,42376,18588,836
12-03-2024,Coconut,Plantation,Mysuru APMC,Davangere,Karnataka,6823,49677,19695,510
13-03-2024,Onion,Vegetables,Hubballi APMC,Kalaburagi,Karnataka,2517,23221,16208,667
14-03-2024,Carrot,Vegetables,Davanagere APMC,Udupi,Karnataka,6002,54989,21180,70
15-03-2024,Potato,Vegetables,Sagar APMC,Belagavi,Karnataka,2356,36883,15607,113
16-03-2024,Cabbage,Vegetables,Shivamogga APMC,Chikkamagaluru,Karnataka,4629,30951,16908,214
17-03-2024,Sunflower,Oilseeds,Hubballi APMC,Tumakuru,Karnataka,4628,21596,12139,76
18-03-2024,Ragi,Cereals,Mysuru APMC,Belagavi,Karnataka,9210,46728,34148,360
19-03-2024,Potato,Vegetables,Bhadravati APMC,Tumakuru,Karnataka,7132,45018,19108,334
20-03-2024,Toor Dal,Pulses,Sagar APMC,Hassan,Karnataka,7588,19288,13495,709
21-03-2024,Black Gram,Pulses,Dharwad APMC,Belagavi,Karnataka,4311,42557,26195,330
22-03-2024,Onion,Vegetables,Dharwad APMC,Raichur,Karnataka,7048,52516,37633,887
23-03-2024,Ragi,Cereals,Chikkamagaluru APMC,Chitradurga,Karnataka,7246,40445,25444,880
24-03-2024,Green Gram,Pulses,Vijayapura APMC,Chitradurga,Karnataka,1987,44102,28162,213
25-03-2024,Onion,Vegetables,Thirthahalli APMC,Tumakuru,Karnataka,4321,19841,9497,947
26-03-2024,Horse Gram,Pulses,Davanagere APMC,Chikkamagaluru,Karnataka,5615,52070,26723,967
27-03-2024,Arecanut (Betel Nut),Plantation,Dharwad APMC,Raichur,Karnataka,9365,40294,23270,273
28-03-2024,Green Gram,Pulses,Vijayapura APMC,Shivamogga,Karnataka,4741,29696,21074,833
29-03-2024,Papaya,Fruits,Kalaburagi APMC,Mysuru,Karnataka,4052,27969,12675,195
30-03-2024,Papaya,Fruits,Tumakuru APMC,Mysuru,Karnataka,7574,22331,12898,999
31-03-2024,Banana,Fruits,Bengaluru APMC,Chikkamagaluru,Karnataka,1726,24771,11668,917
01-04-2024,Wheat,Cereals,Tumakuru APMC,Udupi,Karnataka,4760,19493,9501,79
02-04-2024,Watermelon,Fruits,Shivamogga APMC,Shivamogga,Karnataka,6806,47760,22081,94
03-04-2024,Brinjal,Vegetables,Vijayapura APMC,Hassan,Karnataka,2875,44010,31097,836
04-04-2024,Toor Dal,Pulses,Thirthahalli APMC,Chikkamagaluru,Karnataka,7993,25074,16043,520
05-04-2024,Black Gram,Pulses,Kalaburagi APMC,Raichur,Karnataka,5033,38534,23553,83
06-04-2024,Green Gram,Pulses,Bhadravati APMC,Mysuru,Karnataka,6443,37556,24813,702
07-04-2024,Cowpea,Pulses,Shivamogga APMC,Kalaburagi,Karnataka,1989,46430,21845,476
08-04-2024,Mango,Fruits,Hubballi APMC,Mysuru,Karnataka,4744,39434,17194,879
09-04-2024,Banana,Fruits,Davanagere APMC,Mysuru,Karnataka,9611,48956,24666,935
10-04-2024,Tomato,Vegetables,Chikkamagaluru APMC,Raichur,Karnataka,1593,38422,17257,270
11-04-2024,Onion,Vegetables,Bengaluru APMC,Bengaluru,Karnataka,2774,47836,27758,917
12-04-2024,Pomegranate,Fruits,Bhadravati APMC,Chikkamagaluru,Karnataka,1935,15565,8195,583
13-04-2024,Papaya,Fruits,Sagar APMC,Davangere,Karnataka,4808,46678,17483,741
14-04-2024,Turmeric,Commercial Crops,Udupi APMC,Hassan,Karnataka,1331,14784,8183,997
15-04-2024,Tobacco,Commercial Crops,Davanagere APMC,Mysuru,Karnataka,8922,56197,40530,416
16-04-2024,Beans,Vegetables,Davanagere APMC,Chitradurga,Karnataka,3702,52098,33941,981
17-04-2024,Papaya,Fruits,Chitradurga APMC,Kalaburagi,Karnataka,6889,25217,18437,890
18-04-2024,Ragi,Cereals,Hassan APMC,Tumakuru,Karnataka,6054,31588,21835,792
19-04-2024,Papaya,Fruits,Bhadravati APMC,Chikkamagaluru,Karnataka,4868,34612,17643,964
20-04-2024,Pomegranate,Fruits,Udupi APMC,Vijayapura,Karnataka,5200,34589,23012,599
21-04-2024,Sesame,Oilseeds,Sagar APMC,Raichur,Karnataka,1201,47521,17749,631
22-04-2024,Jola (Jowar),Cereals,Udupi APMC,Bengaluru,Karnataka,3497,48507,28842,165
23-04-2024,Ragi,Cereals,Raichur APMC,Chitradurga,Karnataka,2842,27507,16571,288
24-04-2024,Wheat,Cereals,Bengaluru APMC,Chikkamagaluru,Karnataka,5658,53523,20507,384
25-04-2024,Carrot,Vegetables,Dharwad APMC,Hassan,Karnataka,8544,27184,20011,490
26-04-2024,Sesame,Oilseeds,Raichur APMC,Kalaburagi,Karnataka,8718,53434,38289,197
27-04-2024,Watermelon,Fruits,Kalaburagi APMC,Bengaluru,Karnataka,1770,37291,16226,58
28-04-2024,Beans,Vegetables,Raichur APMC,Hassan,Karnataka,4155,44204,29184,337
29-04-2024,Black Gram,Pulses,Dharwad APMC,Chitradurga,Karnataka,2628,18246,7828,437
30-04-2024,Sunflower,Oilseeds,Hassan APMC,Chikkamagaluru,Karnataka,1386,48390,26768,99
01-05-2024,Sunflower,Oilseeds,Mysuru APMC,Davangere,Karnataka,7031,18951,12923,899
02-05-2024,Carrot,Vegetables,Bhadravati APMC,Chitradurga,Karnataka,7439,21627,14794,566
03-05-2024,Groundnut,Oilseeds,Belagavi APMC,Vijayapura,Karnataka,7401,29608,22290,965
04-05-2024,Capsicum,Vegetables,Tumakuru APMC,Hassan,Karnataka,5008,15246,11648,904
05-05-2024,Watermelon,Fruits,Hassan APMC,Bengaluru,Karnataka,3466,46438,29852,687
06-05-2024,Capsicum,Vegetables,Chikkamagaluru APMC,Bengaluru,Karnataka,3282,24081,11799,636
07-05-2024,Maize,Cereals,Dharwad APMC,Hassan,Karnataka,2856,18408,13194,726
08-05-2024,Cauliflower,Vegetables,Thirthahalli APMC,Dharwad,Karnataka,8980,47896,22173,327
09-05-2024,Pomegranate,Fruits,Belagavi APMC,Chikkamagaluru,Karnataka,2998,17925,12571,885
10-05-2024,Tomato,Vegetables,Bhadravati APMC,Dharwad,Karnataka,6476,44440,22849,349
11-05-2024,Watermelon,Fruits,Davanagere APMC,Udupi,Karnataka,5669,26833,12473,851
12-05-2024,Sunflower,Oilseeds,Chikkamagaluru APMC,Chikkamagaluru,Karnataka,5318,52476,32092,638
13-05-2024,Cabbage,Vegetables,Chitradurga APMC,Hassan,Karnataka,8064,37135,19475,859
14-05-2024,Guava,Fruits,Kalaburagi APMC,Shivamogga,Karnataka,8446,24606,14868,698
15-05-2024,Groundnut,Oilseeds,Bengaluru APMC,Kalaburagi,Karnataka,2431,28241,13334,667
16-05-2024,Capsicum,Vegetables,Thirthahalli APMC,Hassan,Karnataka,6624,21750,11547,656
17-05-2024,Toor Dal,Pulses,Hassan APMC,Dharwad,Karnataka,8461,48470,23298,184
18-05-2024,Tobacco,Commercial Crops,Chitradurga APMC,Davangere,Karnataka,2819,46403,15984,629
19-05-2024,Brinjal,Vegetables,Bhadravati APMC,Kalaburagi,Karnataka,2130,37526,19055,196
20-05-2024,Rice (Akki),Cereals,Raichur APMC,Hassan,Karnataka,7563,17755,10964,539
21-05-2024,Bajra,Cereals,Davanagere APMC,Hassan,Karnataka,3658,50071,30255,527
22-05-2024,Brinjal,Vegetables,Chitradurga APMC,Davangere,Karnataka,4500,27316,13495,208
23-05-2024,Brinjal,Vegetables,Udupi APMC,Hassan,Karnataka,9566,58648,42816,433
24-05-2024,Sugarcane,Commercial Crops,Bengaluru APMC,Kalaburagi,Karnataka,3120,45250,30441,212
25-05-2024,Cauliflower,Vegetables,Chitradurga APMC,Mysuru,Karnataka,5020,51488,24340,490
26-05-2024,Horse Gram,Pulses,Mysuru APMC,Shivamogga,Karnataka,4259,44957,29219,902
27-05-2024,Brinjal,Vegetables,Bhadravati APMC,Tumakuru,Karnataka,2823,23478,15656,238
28-05-2024,Potato,Vegetables,Udupi APMC,Shivamogga,Karnataka,2474,42549,30311,464
29-05-2024,Watermelon,Fruits,Belagavi APMC,Raichur,Karnataka,3242,22601,13679,388
30-05-2024,Banana,Fruits,Tumakuru APMC,Vijayapura,Karnataka,4243,50904,19771,656
31-05-2024,Ragi,Cereals,Bengaluru APMC,Hassan,Karnataka,7990,57569,35692,230
01-06-2024,Beans,Vegetables,Belagavi APMC,Mysuru,Karnataka,6160,49432,29959,337
02-06-2024,Groundnut,Oilseeds,Raichur APMC,Chikkamagaluru,Karnataka,4134,28805,17835,883
03-06-2024,Jola (Jowar),Cereals,Dharwad APMC,Hassan,Karnataka,3070,40118,18736,236
04-06-2024,Watermelon,Fruits,Bhadravati APMC,Dharwad,Karnataka,1359,22097,14712,933
05-06-2024,Bajra,Cereals,Chikkamagaluru APMC,Chitradurga,Karnataka,2141,38104,26732,187
06-06-2024,Green Gram,Pulses,Shivamogga APMC,Mysuru,Karnataka,2635,19408,9128,179
07-06-2024,Beans,Vegetables,Thirthahalli APMC,Davangere,Karnataka,5000,51584,20618,243
08-06-2024,Black Gram,Pulses,Chikkamagaluru APMC,Mysuru,Karnataka,4361,44255,19434,365
09-06-2024,Pomegranate,Fruits,Mysuru APMC,Raichur,Karnataka,7583,18300,14316,834
10-06-2024,Banana,Fruits,Chikkamagaluru APMC,Davangere,Karnataka,8835,30511,21205,913
11-06-2024,Onion,Vegetables,Thirthahalli APMC,Udupi,Karnataka,1006,15440,9008,193
12-06-2024,Sunflower,Oilseeds,Raichur APMC,Tumakuru,Karnataka,4267,52092,26301,65
13-06-2024,Capsicum,Vegetables,Tumakuru APMC,Belagavi,Karnataka,7564,46664,28331,351
14-06-2024,Capsicum,Vegetables,Mysuru APMC,Kalaburagi,Karnataka,5928,20922,12273,472
15-06-2024,Onion,Vegetables,Sagar APMC,Mysuru,Karnataka,3606,17840,10593,294
16-06-2024,Cowpea,Pulses,Bhadravati APMC,Kalaburagi,Karnataka,6906,20670,15401,976
17-06-2024,Watermelon,Fruits,Hubballi APMC,Bengaluru,Karnataka,4273,51678,37101,156
18-06-2024,Rice (Akki),Cereals,Davanagere APMC,Dharwad,Karnataka,8611,53483,38810,137
19-06-2024,Jola (Jowar),Cereals,Shivamogga APMC,Hassan,Karnataka,1913,35098,24265,178
20-06-2024,Pomegranate,Fruits,Thirthahalli APMC,Dharwad,Karnataka,3011,25010,13150,956
21-06-2024,Arecanut (Betel Nut),Plantation,Hubballi APMC,Kalaburagi,Karnataka,2442,48929,25105,936
22-06-2024,Rice (Akki),Cereals,Sagar APMC,Shivamogga,Karnataka,6546,19127,13871,390
23-06-2024,Rice (Akki),Cereals,Chikkamagaluru APMC,Belagavi,Karnataka,2829,15592,11366,53
24-06-2024,Brinjal,Vegetables,Raichur APMC,Shivamogga,Karnataka,9767,47141,23102,376
25-06-2024,Tomato,Vegetables,Belagavi APMC,Udupi,Karnataka,7468,56227,28030,459
26-06-2024,Pomegranate,Fruits,Chikkamagaluru APMC,Belagavi,Karnataka,1929,22460,9232,928
27-06-2024,Capsicum,Vegetables,Bhadravati APMC,Belagavi,Karnataka,4699,40006,23934,355
28-06-2024,Banana,Fruits,Hassan APMC,Shivamogga,Karnataka,2054,42889,19308,957
29-06-2024,Ragi,Cereals,Bhadravati APMC,Davangere,Karnataka,6744,27808,15811,656
30-06-2024,Copra,Plantation,Hassan APMC,Raichur,Karnataka,2900,24212,9898,770
01-07-2024,Rice (Akki),Cereals,Hassan APMC,Kalaburagi,Karnataka,7980,55528,28897,274
02-07-2024,Carrot,Vegetables,Mysuru APMC,Shivamogga,Karnataka,8069,55014,38348,397
03-07-2024,Capsicum,Vegetables,Raichur APMC,Dharwad,Karnataka,4415,20891,10894,370
04-07-2024,Bajra,Cereals,Shivamogga APMC,Davangere,Karnataka,1442,36007,21423,608
05-07-2024,Capsicum,Vegetables,Chikkamagaluru APMC,Dharwad,Karnataka,7218,19600,14051,230
06-07-2024,Maize,Cereals,Mysuru APMC,Raichur,Karnataka,5652,38115,26603,667
07-07-2024,Horse Gram,Pulses,Bengaluru APMC,Udupi,Karnataka,8939,52341,24256,760
08-07-2024,Arecanut (Betel Nut),Plantation,Tumakuru APMC,Hassan,Karnataka,8833,45178,33949,435
09-07-2024,Grapes,Fruits,Sagar APMC,Raichur,Karnataka,8597,45543,28291,667
10-07-2024,Onion,Vegetables,Sagar APMC,Vijayapura,Karnataka,5458,29620,22328,841
11-07-2024,Wheat,Cereals,Kalaburagi APMC,Chikkamagaluru,Karnataka,7591,25988,19818,821
12-07-2024,Mango,Fruits,Davanagere APMC,Davangere,Karnataka,3309,35644,15875,157
13-07-2024,Bajra,Cereals,Udupi APMC,Udupi,Karnataka,7268,31662,15134,580
14-07-2024,Tobacco,Commercial Crops,Udupi APMC,Vijayapura,Karnataka,1910,39107,16873,459
15-07-2024,Horse Gram,Pulses,Chitradurga APMC,Bengaluru,Karnataka,5340,37350,21698,345
16-07-2024,Soybean,Oilseeds,Bhadravati APMC,Udupi,Karnataka,5009,39132,17588,867
17-07-2024,Banana,Fruits,Udupi APMC,Shivamogga,Karnataka,7628,40015,19514,220
18-07-2024,Black Gram,Pulses,Davanagere APMC,Shivamogga,Karnataka,3169,16059,9421,380
19-07-2024,Bajra,Cereals,Udupi APMC,Raichur,Karnataka,3172,40941,15005,542
20-07-2024,Soybean,Oilseeds,Raichur APMC,Chikkamagaluru,Karnataka,6668,24694,12955,244
21-07-2024,Cabbage,Vegetables,Raichur APMC,Udupi,Karnataka,7313,20619,13518,61
22-07-2024,Jola (Jowar),Cereals,Bengaluru APMC,Kalaburagi,Karnataka,9315,52980,23517,244
23-07-2024,Sugarcane,Commercial Crops,Raichur APMC,Tumakuru,Karnataka,9036,28313,17878,539
24-07-2024,Guava,Fruits,Hubballi APMC,Hassan,Karnataka,7789,32472,19874,844
25-07-2024,Copra,Plantation,Udupi APMC,Raichur,Karnataka,1785,12455,6912,930
26-07-2024,Carrot,Vegetables,Vijayapura APMC,Shivamogga,Karnataka,7139,40814,28949,231
27-07-2024,Jola (Jowar),Cereals,Mysuru APMC,Chikkamagaluru,Karnataka,7344,35233,21624,866
28-07-2024,Copra,Plantation,Raichur APMC,Hassan,Karnataka,3416,26422,14624,705
29-07-2024,Sugarcane,Commercial Crops,Davanagere APMC,Udupi,Karnataka,9988,46519,26949,947
30-07-2024,Capsicum,Vegetables,Vijayapura APMC,Kalaburagi,Karnataka,5154,36793,24993,365
31-07-2024,Toor Dal,Pulses,Chitradurga APMC,Udupi,Karnataka,6619,33252,24144,743
01-08-2024,Banana,Fruits,Mysuru APMC,Belagavi,Karnataka,2936,47596,31576,79
02-08-2024,Turmeric,Commercial Crops,Kalaburagi APMC,Chikkamagaluru,Karnataka,4807,18246,12459,645
03-08-2024,Watermelon,Fruits,Udupi APMC,Vijayapura,Karnataka,8151,50323,23120,727
04-08-2024,Coconut,Plantation,Hubballi APMC,Shivamogga,Karnataka,4236,49858,22975,845
05-08-2024,Turmeric,Commercial Crops,Hassan APMC,Kalaburagi,Karnataka,3352,24929,10223,842
06-08-2024,Ragi,Cereals,Belagavi APMC,Tumakuru,Karnataka,2932,24695,17564,145
07-08-2024,Horse Gram,Pulses,Hubballi APMC,Udupi,Karnataka,9556,39732,26585,430
08-08-2024,Brinjal,Vegetables,Bengaluru APMC,Tumakuru,Karnataka,5916,40171,26419,827
09-08-2024,Potato,Vegetables,Vijayapura APMC,Udupi,Karnataka,6498,36494,19235,493
10-08-2024,Tomato,Vegetables,Tumakuru APMC,Shivamogga,Karnataka,1946,47332,30914,347
11-08-2024,Green Chilli,Vegetables,Raichur APMC,Hassan,Karnataka,2439,33501,14983,857
12-08-2024,Cauliflower,Vegetables,Tumakuru APMC,Mysuru,Karnataka,8730,54661,22539,786
13-08-2024,Papaya,Fruits,Dharwad APMC,Hassan,Karnataka,5857,51567,26452,894
14-08-2024,Toor Dal,Pulses,Hubballi APMC,Udupi,Karnataka,1340,46033,24952,410
15-08-2024,Soybean,Oilseeds,Tumakuru APMC,Dharwad,Karnataka,1382,47122,23862,423
16-08-2024,Carrot,Vegetables,Hassan APMC,Chitradurga,Karnataka,9491,31196,23487,603
17-08-2024,Rice (Akki),Cereals,Vijayapura APMC,Mysuru,Karnataka,1138,39185,14156,352
18-08-2024,Ragi,Cereals,Mysuru APMC,Vijayapura,Karnataka,1358,22324,12292,470
19-08-2024,Cowpea,Pulses,Kalaburagi APMC,Mysuru,Karnataka,5931,33305,19760,295
20-08-2024,Wheat,Cereals,Kalaburagi APMC,Tumakuru,Karnataka,4456,25594,13177,769
21-08-2024,Pomegranate,Fruits,Tumakuru APMC,Chikkamagaluru,Karnataka,2627,28562,18937,286
22-08-2024,Capsicum,Vegetables,Sagar APMC,Tumakuru,Karnataka,7626,18115,13931,583
23-08-2024,Black Gram,Pulses,Kalaburagi APMC,Raichur,Karnataka,6004,38264,25139,234
24-08-2024,Papaya,Fruits,Bengaluru APMC,Tumakuru,Karnataka,7652,43721,31114,517
25-08-2024,Copra,Plantation,Tumakuru APMC,Vijayapura,Karnataka,7416,36691,24662,803
26-08-2024,Soybean,Oilseeds,Raichur APMC,Dharwad,Karnataka,4170,50454,22347,412
27-08-2024,Jola (Jowar),Cereals,Dharwad APMC,Hassan,Karnataka,4835,54013,33468,332
28-08-2024,Sugarcane,Commercial Crops,Sagar APMC,Hassan,Karnataka,9017,51838,27134,602
29-08-2024,Onion,Vegetables,Udupi APMC,Chitradurga,Karnataka,3151,30150,13866,385
30-08-2024,Banana,Fruits,Belagavi APMC,Bengaluru,Karnataka,7905,56617,23941,211
31-08-2024,Onion,Vegetables,Bhadravati APMC,Udupi,Karnataka,3834,47556,29963,209
01-09-2024,Horse Gram,Pulses,Sagar APMC,Dharwad,Karnataka,3567,24192,15620,523
02-09-2024,Green Gram,Pulses,Davanagere APMC,Bengaluru,Karnataka,2307,13936,6886,650
03-09-2024,Guava,Fruits,Chikkamagaluru APMC,Raichur,Karnataka,9848,30821,22427,371
04-09-2024,Grapes,Fruits,Mysuru APMC,Shivamogga,Karnataka,3660,20519,14907,61
05-09-2024,Turmeric,Commercial Crops,Udupi APMC,Udupi,Karnataka,4730,50776,20534,473
06-09-2024,Sugarcane,Commercial Crops,Tumakuru APMC,Udupi,Karnataka,7207,39046,19721,122
07-09-2024,Papaya,Fruits,Hubballi APMC,Belagavi,Karnataka,4162,41378,26495,637
08-09-2024,Potato,Vegetables,Raichur APMC,Belagavi,Karnataka,2140,31085,14002,907
09-09-2024,Papaya,Fruits,Thirthahalli APMC,Davangere,Karnataka,9458,25997,18552,250
10-09-2024,Potato,Vegetables,Belagavi APMC,Davangere,Karnataka,2708,46333,17212,571
11-09-2024,Cabbage,Vegetables,Kalaburagi APMC,Tumakuru,Karnataka,4630,19516,11788,913
12-09-2024,Coconut,Plantation,Shivamogga APMC,Shivamogga,Karnataka,4211,21696,14626,554
13-09-2024,Coconut,Plantation,Vijayapura APMC,Mysuru,Karnataka,7538,48993,31358,787
14-09-2024,Rice (Akki),Cereals,Belagavi APMC,Chitradurga,Karnataka,1475,28242,18232,737
15-09-2024,Papaya,Fruits,Bengaluru APMC,Mysuru,Karnataka,8684,47137,33716,837
16-09-2024,Soybean,Oilseeds,Udupi APMC,Chitradurga,Karnataka,2207,22951,14846,88
17-09-2024,Guava,Fruits,Bhadravati APMC,Belagavi,Karnataka,2960,50062,29744,109
18-09-2024,Banana,Fruits,Sagar APMC,Belagavi,Karnataka,1557,23783,8507,627
19-09-2024,Maize,Cereals,Bengaluru APMC,Belagavi,Karnataka,1882,39751,21346,370
20-09-2024,Banana,Fruits,Bhadravati APMC,Dharwad,Karnataka,5761,38349,16029,484
21-09-2024,Sesame,Oilseeds,Belagavi APMC,Chikkamagaluru,Karnataka,6867,30307,21475,685
22-09-2024,Cotton,Commercial Crops,Belagavi APMC,Chitradurga,Karnataka,7963,49672,25827,725
23-09-2024,Sugarcane,Commercial Crops,Kalaburagi APMC,Davangere,Karnataka,8166,40661,25225,457
24-09-2024,Green Gram,Pulses,Sagar APMC,Dharwad,Karnataka,8929,55948,28290,972
25-09-2024,Toor Dal,Pulses,Tumakuru APMC,Hassan,Karnataka,6347,17269,13042,435
26-09-2024,Jola (Jowar),Cereals,Dharwad APMC,Mysuru,Karnataka,8269,45795,32834,720
